Campaign report
"May 1, 2022 - May 20, 2022"
Campaign status,Campaign,Budget name,Currency code,Budget,Budget type,Status,Status reasons,Campaign type,Campaign ID,Impr.,Views,View rate,Avg. CPV,Cost,Video played to 25%,Video played to 50%,Video played to 75%,Video played to 100%,Earned views,Earned playlist additions
Paused,HM_Woa Doll Channel_Discovery_Rich Elsa and Poor Squid Game_1002, --,VND,200000,Daily,Paused,campaign paused; unknown,Video,16166484366,0,0, --, --,0, --, --, --, --,0,0
Paused,RioHippo-Discovery-T11, --,VND,80000,Daily,Paused,campaign paused; most ads disapproved,Video,1641095974,0,0, --, --,0, --, --, --, --,0,0
Paused,HM_WOA Cakes_Discovery_Hamster And Dog_3003, --,VND,100000,Daily,Paused,campaign paused,Video,12648891261,0,0, --, --,0, --, --, --, --,0,0
Paused,HM_Woa Doll Crafts_Discovery_POP IT House_1708, --,VND,100000,Daily,Paused,campaign paused; unknown,Video,14305464696,0,0, --, --,0, --, --, --, --,0,0
Paused,HM_WOA Doll Crafts_Discovery_Ladybug_2909, --,VND,100000,Daily,Paused,campaign paused; unknown,Video,14812720226,0,0, --, --,0, --, --, --, --,0,0
Paused,HM_WOA Doll Crafts_Discovery_SQUID GAME Sleep_1304, --,VND,100000,Daily,Paused,campaign paused; unknown,Video,16896901151,"89,088","13,768",15.45%,23,310526,25.72%,12.42%,5.93%,1.46%,"24,002",66
Paused,HM_WOA Cakes_Instream_Silver Girl_1002, --,VND,100000,Daily,Paused,campaign paused,Video,12304857062,0,0, --, --,0, --, --, --, --,0,0
Paused,HM_WOA Doll Crafts_Discovery_Rapunzel Nightmare_2203, --,VND,100000,Daily,Paused,campaign paused,Video,12598762724,0,0, --, --,0, --, --, --, --,0,0
Paused,HM_WOA Doll Crafts_Discovery_Own Brain_2004, --,VND,100000,Daily,Paused,campaign paused; unknown,Video,12797805587,0,0, --, --,0, --, --, --, --,0,0
Paused,HM_WOA Doll Crafts_Discovery_Abandoned House_2004, --,VND,100000,Daily,Paused,campaign paused; unknown,Video,12797821142,0,0, --, --,0, --, --, --, --,0,0
Paused,HM_WOA Doll Crafts_Discovery_Pink Green Elsa_0106, --,VND,200000,Daily,Paused,campaign paused; unknown,Video,13335697088,0,0, --, --,0, --, --, --, --,0,0
Paused,KIDS TV2 Instream T11, --,VND,70000,Daily,Paused,campaign paused; most ads disapproved,Video,1636002185,0,0, --, --,0, --, --, --, --,0,0
